time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1901-08-09T18:33:00.000Z,40,144,0,7.5,mw,,,,,iscgem,iscgem16957736,2020-07-09T21:51:20.368Z,"180 km ENE of Miyako, Japan",earthquake,,,,,automatic,iscgem,iscgem
1906-01-21T13:49:33.000Z,34.167,138.101,300,7.4,mw,,,,,iscgem,iscgem16957883,2020-07-09T21:56:49.891Z,"near the south coast of Honshu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1909-03-13T14:29:00.000Z,35.407,142.29,15,7.1,mw,,,,,iscgem,iscgem16958018,2020-07-09T22:00:02.860Z,"136 km ESE of Hasaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1915-11-01T07:23:53.000Z,38.594,143.021,30,7,mw,,,,,iscgemsup,iscgemsup913949,2020-07-10T14:10:28.448Z,"125 km ESE of ?funato, Japan",earthquake,,,,,automatic,iscgem,iscgem
1919-05-03T00:52:03.000Z,40.783,145.403,15,7.2,mw,,,,,iscgemsup,iscgemsup912777,2015-07-13T17:02:22.000Z,"257 km SSE of Kushiro, Japan",earthquake,,,,,automatic,iscgem,iscgem
1922-05-15T20:21:31.000Z,41.172,143.054,30,6.5,mw,,,,,iscgem,iscgem911900,2020-07-10T12:51:22.604Z,"141 km SSE of Shizunai-furukawach?, Japan",earthquake,,,,,automatic,iscgem,iscgem
1922-12-07T16:50:18.000Z,32.629,129.69,15,6.6,mw,,,,,iscgem,iscgem912099,2020-07-10T12:55:50.588Z,"22 km SW of Nagasaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1922-12-08T22:33:17.000Z,41.307,141.613,15,6.6,mw,,,,,iscgem,iscgem912110,2020-07-10T12:56:06.154Z,"33 km E of Mutsu, Japan",earthquake,,,,,automatic,iscgem,iscgem
1923-06-01T17:24:46.000Z,35.919,141.523,15,6.9,mw,,,,,iscgem,iscgem911391,2020-07-10T12:40:58.165Z,"65 km ENE of Hasaki, Japan",earthquake,,,,,automatic,iscgem,iscgem
1923-09-01T02:58:35.000Z,35.413,139.298,15,8.1,mw,,,,,iscgem,iscgem911526,2021-01-07T23:26:03.272Z,"1 km NW of Isehara, Japan",earthquake,,,,,automatic,iscgem,iscgem
1923-09-01T07:38:06.000Z,35.196,139.244,15,6.4,mw,,,,,iscgem,iscgem911550,2020-07-10T12:43:28.545Z,"10 km SE of Odawara, Japan",earthquake,,,,,automatic,iscgem,iscgem
